('beef', 'yogurt')->whole milk: 0.5217391304347826
('bottled beer', 'yogurt')->whole milk: 0.5604395604395604
('bottled water', 'butter')->whole milk: 0.6022727272727273
('brown bread', 'root vegetables')->whole milk: 0.56
('brown bread', 'tropical fruit')->whole milk: 0.5333333333333333
('butter', 'citrus fruit')->whole milk: 0.5555555555555555
('butter', 'domestic eggs')->whole milk: 0.6210526315789474
('butter', 'root vegetables')->other vegetables: 0.5118110236220472
('butter', 'tropical fruit')->other vegetables: 0.5510204081632654
('butter', 'whipped/sour cream')->other vegetables: 0.5700000000000001
('butter', 'other vegetables')->whole milk: 0.5736040609137055
('butter', 'root vegetables')->whole milk: 0.6377952755905512
('butter', 'tropical fruit')->whole milk: 0.6224489795918368
('butter', 'whipped/sour cream')->whole milk: 0.66
('butter', 'yogurt')->whole milk: 0.6388888888888888
('chicken', 'root vegetables')->other vegetables: 0.5233644859813085
('chicken', 'rolls/buns')->whole milk: 0.5473684210526316
('chicken', 'root vegetables')->whole milk: 0.5514018691588786
('citrus fruit', 'domestic eggs')->whole milk: 0.5490196078431373
('citrus fruit', 'root vegetables')->other vegetables: 0.5862068965517241
('citrus fruit', 'whipped/sour cream')->other vegetables: 0.5233644859813085
('citrus fruit', 'root vegetables')->whole milk: 0.5172413793103449
('citrus fruit', 'whipped/sour cream')->whole milk: 0.5794392523364487
('coffee', 'yogurt')->whole milk: 0.5208333333333333
('cream cheese ', 'yogurt')->whole milk: 0.5327868852459017
('curd', 'root vegetables')->other vegetables: 0.5046728971962617
('curd', 'tropical fruit')->other vegetables: 0.5148514851485149
('curd', 'other vegetables')->whole milk: 0.5739644970414202
('curd', 'rolls/buns')->whole milk: 0.5858585858585859
('curd', 'root vegetables')->whole milk: 0.5700934579439252
('curd', 'tropical fruit')->whole milk: 0.6336633663366337
('curd', 'tropical fruit')->yogurt: 0.5148514851485149
('curd', 'whipped/sour cream')->whole milk: 0.5631067961165048
('curd', 'yogurt')->whole milk: 0.5823529411764706
('domestic eggs', 'margarine')->whole milk: 0.6219512195121952
('domestic eggs', 'root vegetables')->other vegetables: 0.5106382978723404
('domestic eggs', 'whipped/sour cream')->other vegetables: 0.5102040816326531
('domestic eggs', 'other vegetables')->whole milk: 0.5525114155251142
('domestic eggs', 'pip fruit')->whole milk: 0.6235294117647059
('domestic eggs', 'root vegetables')->whole milk: 0.5957446808510639
('domestic eggs', 'tropical fruit')->whole milk: 0.6071428571428571
('domestic eggs', 'whipped/sour cream')->whole milk: 0.5714285714285715
('domestic eggs', 'yogurt')->whole milk: 0.5390070921985816
('frankfurter', 'tropical fruit')->whole milk: 0.5483870967741935
('frankfurter', 'yogurt')->whole milk: 0.5545454545454546
